68,70,69,68,97,98,98,99,99,99,98,99,99,98,98,98,96,97,96,96,95,95,94,94,93,94,94,94,91,92,93,93,93,93,100,100,103,107,107,108,118
59,64,63,63,63,85,85,89,90,90,91,89,88,87,87,87,87,87,87,86,85,85,84,84,83,83,82,81,75,72,71,71,73,73,73,73,72,73,73,73,79
59,64,63,63,63,85,85,89,90,90,91,89,88,87,87,87,87,87,87,86,85,85,84,84,83,83,82,81,75,72,71,71,73,73,73,73,72,73,73,73,79
74,74,90,91,90,92,92,92,92,92,93,94,94,94,94,95,94,94,93,93,92,92,91,91,91,90,90,91,88,86,86,86,89,89,90,90,89,89,89,89,93
92,91,95,95,94,94,94,94,94,94,95,96,95,94,94,96,93,93,92,91,91,90,90,90,90,91,91,90,87,85,86,87,89,89,89,89,88,94,96,96,89
47,49,48,48,48,47,47,49,50,50,51,56,57,56,56,56,85,85,84,84,83,83,82,82,82,81,81,80,74,72,70,70,70,70,70,70,71,72,72,71,89
59,63,61,61,60,70,70,85,90,90,90,89,87,87,86,86,86,87,87,86,85,85,85,85,84,83,83,82,76,74,73,72,72,72,71,71,70,70,69,70,87
67,67,65,64,64,86,86,87,88,88,91,89,87,87,86,86,87,87,87,86,86,86,85,85,85,84,84,83,77,74,73,72,72,72,72,72,71,71,70,71,76
51,61,59,59,59,86,86,87,88,88,89,87,85,86,86,86,86,87,87,86,86,85,85,85,84,83,83,82,76,74,72,72,72,72,71,71,70,70,70,70,81
45,47,47,47,47,46,46,46,46,46,45,43,41,40,40,39,41,43,42,42,41,41,40,40,40,39,39,38,32,29,28,27,27,27,27,27,26,25,32,36,46
86,88,91,90,90,89,89,90,90,90,90,88,87,87,87,86,85,86,85,85,84,84,84,84,84,83,83,82,76,74,72,72,72,72,72,72,71,71,71,71,94
62,62,59,59,59,85,85,87,88,88,91,90,88,88,87,87,86,87,86,85,85,84,84,84,83,82,82,81,75,72,70,70,69,69,68,68,67,67,66,66,88
41,41,39,39,39,40,40,40,41,41,41,41,40,40,40,41,44,45,44,44,43,43,42,42,42,41,41,40,33,31,29,29,28,28,28,28,26,26,25,24,43
59,61,59,59,59,86,86,92,93,93,93,91,89,89,88,88,87,88,88,87,87,86,86,86,86,85,85,84,77,75,73,73,73,73,72,72,71,70,70,69,85
56,56,55,55,54,86,86,88,89,89,91,89,88,88,87,87,89,89,89,88,87,87,87,87,86,86,86,85,78,76,74,74,74,74,74,74,74,75,74,74,87
53,54,53,52,52,51,51,52,52,52,51,57,57,71,72,72,66,67,66,66,65,65,64,64,64,63,63,63,56,54,52,52,51,51,50,50,49,48,48,47,69
77,77,90,91,91,90,90,91,91,91,92,90,89,88,88,87,88,89,88,88,87,87,87,87,86,86,85,85,78,76,74,73,73,73,72,72,71,71,70,70,108
49,50,49,49,49,48,48,50,52,52,51,58,59,58,71,75,70,72,72,71,71,70,73,73,74,73,73,73,67,66,65,65,64,64,64,64,63,63,62,62,71
75,78,76,82,93,96,96,97,97,97,105,103,102,101,101,100,96,96,95,95,94,94,93,93,92,92,91,90,84,81,80,79,79,79,79,79,78,78,78,83,88
70,74,89,90,90,89,89,90,90,90,92,89,87,87,87,88,87,88,87,87,86,86,85,85,85,84,84,83,76,74,72,72,71,71,71,71,70,70,69,69,83
59,60,58,57,57,86,86,88,89,89,90,89,87,87,86,86,84,85,84,83,82,82,81,81,80,80,79,78,72,69,68,67,68,68,67,67,66,66,66,66,83
67,66,63,63,86,87,87,89,90,90,90,88,87,86,86,85,87,87,87,86,86,85,85,85,84,84,83,83,76,74,74,75,79,79,78,78,77,78,78,81,77
52,55,54,54,54,86,86,88,88,88,91,89,87,88,88,87,89,91,91,91,90,90,90,90,90,89,89,89,82,80,79,78,78,78,77,77,76,76,75,75,82
59,63,61,61,60,69,69,86,88,88,90,88,87,87,89,89,86,86,85,84,84,83,83,83,82,81,81,79,73,70,68,67,67,67,66,66,64,64,63,62,58
66,68,66,65,65,86,86,89,90,90,91,89,87,87,86,86,92,91,91,91,90,90,90,90,90,89,89,88,81,79,77,76,76,76,75,75,74,73,73,72,77
143,143,141,142,143,143,143,143,144,144,143,141,140,139,139,138,134,134,135,134,134,133,133,133,132,131,131,130,123,120,119,118,117,117,117,117,116,115,115,114,143
59,59,56,56,56,55,55,55,63,63,63,61,59,58,70,72,66,68,69,68,68,67,71,71,70,70,69,68,63,61,60,59,59,59,59,59,58,57,57,57,73
83,85,90,91,91,92,92,93,93,93,96,98,97,97,97,96,94,93,93,93,93,94,93,93,92,91,90,89,82,80,78,77,76,76,75,75,74,73,73,72,77
7,13,16,21,21,27,27,28,34,34,36,35,35,35,35,35,42,43,43,42,41,41,41,41,40,39,39,38,32,30,28,27,27,27,27,27,26,26,25,25,22
109,109,110,110,109,108,108,108,109,109,108,106,104,104,103,103,99,99,99,98,98,97,97,97,97,96,96,96,90,87,87,88,90,90,90,90,89,89,88,87,152
86,84,90,91,91,93,93,94,94,94,94,94,93,93,93,95,95,95,95,94,94,93,93,93,93,92,92,93,86,83,81,81,80,80,79,79,77,77,76,75,82
48,50,48,48,48,48,48,48,49,49,51,56,57,57,56,56,63,65,64,64,64,63,64,64,65,64,64,63,57,54,53,52,52,52,51,51,50,50,49,49,50
54,55,54,54,53,53,53,54,54,54,53,59,60,60,60,60,68,73,73,72,72,71,72,72,74,74,73,72,66,64,62,61,61,61,60,60,59,58,57,57,61
93,95,96,96,99,100,100,101,101,101,101,103,103,103,102,102,98,99,99,98,98,97,97,97,97,96,96,96,89,88,91,91,91,91,91,91,90,90,90,90,90
58,58,57,57,56,74,74,75,79,79,80,78,77,76,76,75,86,87,86,85,85,84,84,84,83,83,83,82,75,72,71,71,70,70,70,70,69,69,68,68,71
58,61,60,60,60,70,70,73,76,76,78,86,86,87,87,87,87,87,86,86,85,85,84,84,83,82,82,81,74,72,70,70,69,69,69,69,68,67,67,66,90
50,52,50,50,50,49,49,50,50,50,49,47,45,51,52,52,64,66,66,65,65,64,65,65,65,65,65,66,59,57,55,54,54,54,53,53,52,52,51,51,79
56,61,59,59,58,86,86,90,90,90,91,90,88,88,87,87,88,89,88,87,87,86,86,86,86,85,84,83,77,74,73,72,71,71,70,70,69,69,68,68,92
58,59,57,57,56,85,85,88,89,89,90,89,89,88,88,88,87,88,87,86,86,85,85,85,84,83,83,82,75,72,70,70,69,69,69,69,67,67,66,65,88
52,53,54,55,54,54,54,54,54,54,53,56,57,57,56,56,64,66,66,66,65,65,67,67,68,68,68,68,61,59,58,57,57,57,57,57,56,56,55,56,79
52,55,55,60,60,60,60,60,65,65,67,77,78,78,77,77,73,75,75,74,74,73,73,73,72,71,71,70,63,61,59,59,59,59,58,58,57,57,56,57,55
58,59,56,56,56,55,55,55,62,62,63,61,59,59,58,58,64,66,65,64,64,63,66,66,66,65,65,67,60,58,56,56,56,56,56,56,55,55,55,59,56
66,67,65,65,65,85,85,87,88,88,92,91,89,88,88,88,88,89,89,88,87,87,86,86,86,85,85,84,77,75,73,72,72,72,71,71,70,70,69,68,83
29,36,34,35,34,35,35,38,38,38,37,36,34,34,35,36,41,42,42,41,40,40,40,40,39,38,38,37,31,28,26,26,25,25,25,25,24,23,23,22,57
48,50,48,47,47,46,46,46,46,46,45,43,41,40,40,39,41,42,41,41,40,40,40,40,39,38,38,37,31,29,27,27,27,27,27,27,26,25,25,24,24
78,79,90,91,91,91,91,93,93,93,96,97,97,98,98,98,96,98,98,97,97,96,96,96,95,94,94,95,92,91,93,97,101,101,100,100,99,100,99,98,120
55,57,55,55,54,54,54,54,54,54,52,59,59,59,58,58,67,68,68,67,67,66,67,67,68,68,68,68,61,59,57,56,56,56,56,56,54,54,54,53,72
69,73,73,73,72,85,85,87,89,89,90,88,87,87,87,86,86,87,87,86,86,85,85,85,84,83,83,82,76,73,71,71,70,70,69,69,68,68,67,67,76
70,70,69,72,72,85,85,88,88,88,91,89,87,87,86,86,85,88,88,87,87,86,86,86,86,85,85,84,78,76,74,74,74,74,73,73,72,73,73,73,86
82,84,89,91,90,91,91,92,92,92,94,97,96,96,96,96,98,100,100,99,99,98,98,98,97,97,96,96,89,87,90,90,101,101,104,104,106,107,107,107,142
35,38,37,37,37,59,59,61,61,61,61,65,78,80,79,79,71,74,74,74,74,74,74,74,74,74,75,75,75,79,118,120,120,120,119,119,119,119,120,120,164
